,NP_Synthesis,shape,method,Bacteria,NP size_min (nm),NP size_max (nm),MDR,MIC_NP (μg/ml),time (hr),Superkingdom,Phylum,Class,Order,Family,Genus,Species,bac_type,gram,"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C ",biosafety_level
0,Green synthesis using Amycolatopsis tucumanensis,spherical,MIC,Acidovorax avenae subsp. avenae,5.0,100.0,0.0,20.0,24.0,Prokaryota,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax avenae,pathogenic,n,24.0,48.0,72.0,29.0,1
1,Green synthesis using Curcuma longa,spherical,MIC,Acinetobacter baumannii,10.0,20.0,1.0,3.9,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
2,Green synthesis using Curcuma longa,spherical,MIC,Acinetobacter baumannii,10.0,20.0,1.0,3.9,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
3,Green synthesis using Curcuma longa,spherical,MIC,Acinetobacter baumannii,10.0,20.0,1.0,3.9,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
4,Green synthesis using Curcuma longa,spherical,MIC,Acinetobacter baumannii,10.0,20.0,1.0,3.9,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,37.0,2
5,Green synthesis using Curcuma longa,spherical,MIC,Acinetobacter baumannii,10.0,20.0,1.0,3.9,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,33.5,2
6,Green synthesis using Curcuma longa,spherical,MIC,Acinetobacter baumannii,10.0,20.0,1.0,3.9,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,12.0,24.0,37.0,2
7,Green synthesis using Curcuma longa,spherical,MIC,Acinetobacter baumannii,10.0,20.0,1.0,3.9,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,48.0,32.0,2
8,Green synthesis using Curcuma longa,spherical,MIC,Acinetobacter baumannii,10.0,20.0,1.0,3.9,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,6.0,24.0,72.0,37.0,2
9,Green synthesis using Curcuma longa,spherical,MIC,Acinetobacter baumannii,10.0,20.0,1.0,4.1,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
10,Green synthesis using Curcuma longa,spherical,MIC,Acinetobacter baumannii,10.0,20.0,1.0,4.1,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
11,Green synthesis using Curcuma longa,spherical,MIC,Acinetobacter baumannii,10.0,20.0,1.0,4.1,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
12,Green synthesis using Curcuma longa,spherical,MIC,Acinetobacter baumannii,10.0,20.0,1.0,4.1,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,37.0,2
13,Green synthesis using Curcuma longa,spherical,MIC,Acinetobacter baumannii,10.0,20.0,1.0,4.1,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,33.5,2
14,Green synthesis using Curcuma longa,spherical,MIC,Acinetobacter baumannii,10.0,20.0,1.0,4.1,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,12.0,24.0,37.0,2
15,Green synthesis using Curcuma longa,spherical,MIC,Acinetobacter baumannii,10.0,20.0,1.0,4.1,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,48.0,32.0,2
16,Green synthesis using Curcuma longa,spherical,MIC,Acinetobacter baumannii,10.0,20.0,1.0,4.1,24.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,6.0,24.0,72.0,37.0,2
17,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,250.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
18,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,250.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
19,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,250.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,18.0,48.0,33.5,2
20,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,250.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,37.0,2
21,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,250.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,72.0,33.5,2
22,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,250.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,12.0,24.0,37.0,2
23,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,250.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,8.0,24.0,48.0,32.0,2
24,Chemical synthesis using halloysite nanotubes,tubular,MIC,Acinetobacter baumannii,5.0,100.0,1.0,250.0,18.0,Prokaryota,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,pathogenic,n,6.0,24.0,72.0,37.0,2
