,Unnamed: 0,NP,NP_Synthesis,shape,method,Bacteria,time (hr),Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level,Genus,Species
0,0,Ag,green_synthesis from fungus  Aspergillus flavus,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,100.0,5.0,30.0,48.0,37.0,2.0,Escherichia,Escherichia coli
1,1,Ag,green_synthesis from fungus  Aspergillus flavus,spherical,disc_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,100.0,5.0,30.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
2,2,Ag,green_synthesis from fungus  Aspergillus flavus,spherical,disc_diffusion,Micrococcus luteus,24.0,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Bacteria,opportunistic pathogen,p,soil,100.0,5.0,30.0,240.0,30.0,1.0,Micrococcus,Micrococcus luteus
3,3,Ag,green_synthesis from fungus  Aspergillus flavus,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,100.0,5.0,30.0,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
4,4,Ag,green_synthesis from fungus  Aspergillus flavus,spherical,disc_diffusion,Enterococcus faecalis,24.0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Bacteria,pathogenic,p,urine,100.0,5.0,30.0,24.0,37.0,2.0,Enterococcus,Enterococcus faecalis
5,5,Ag,green_synthesis from fungus  Aspergillus flavus,spherical,disc_diffusion,Acinetobacter baumannii,24.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria,pathogenic,n,urine,100.0,5.0,30.0,24.0,37.0,2.0,Acinetobacter,Acinetobacter baumannii
6,6,Ag,green_synthesis from fungus  Aspergillus flavus,spherical,disc_diffusion,Klebsiella pneumoniae,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,100.0,5.0,30.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
7,7,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,5.0,5.0,80.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
8,8,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,5.0,5.0,80.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
9,9,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,5.0,5.0,80.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
10,10,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,5.0,5.0,80.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
11,11,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,2.5,5.0,80.0,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
12,12,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,2.5,5.0,80.0,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
13,13,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,2.5,5.0,80.0,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
14,14,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,2.5,5.0,80.0,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
15,15,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,2.5,5.0,80.0,48.0,37.0,2.0,Escherichia,Escherichia coli
16,16,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,2.5,5.0,80.0,48.0,37.0,2.0,Escherichia,Escherichia coli
17,17,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,2.5,5.0,80.0,48.0,37.0,2.0,Escherichia,Escherichia coli
18,18,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,2.5,5.0,80.0,48.0,37.0,2.0,Escherichia,Escherichia coli
19,19,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,2.5,5.0,80.0,48.0,37.0,2.0,Escherichia,Escherichia coli
20,20,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,2.5,5.0,80.0,48.0,37.0,2.0,Escherichia,Escherichia coli
21,21,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods,disc_diffusion,Acinetobacter baumannii,18.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria,pathogenic,n,urine,1000.0,8.0,20.0,24.0,37.0,2.0,Acinetobacter,Acinetobacter baumannii
22,22,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,triangles,disc_diffusion,Acinetobacter baumannii,18.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria,pathogenic,n,urine,1000.0,8.0,20.0,24.0,37.0,2.0,Acinetobacter,Acinetobacter baumannii
