NP,NP_Synthesis,shape,method,Bacteria,time (hr),Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level,reference,ZOI,Genus,Species
Ag,green_synthesis from fungus  Aspergillus flavus,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,100.0,5.0,30.0,48.0,37.0,2.0,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,15.0,Escherichia,Escherichia coli
Ag,green_synthesis from fungus  Aspergillus flavus,spherical,disc_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,100.0,5.0,30.0,24.0,37.0,2.0,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,16.0,Staphylococcus,Staphylococcus aureus
Ag,green_synthesis from fungus  Aspergillus flavus,spherical,disc_diffusion,Micrococcus luteus,24.0,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Bacteria,opportunistic pathogen,p,soil,100.0,5.0,30.0,240.0,30.0,1.0,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,14.0,Micrococcus,Micrococcus luteus
Ag,green_synthesis from fungus  Aspergillus flavus,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,100.0,5.0,30.0,24.0,37.0,2.0,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,14.0,Pseudomonas,Pseudomonas aeruginosa
Ag,green_synthesis from fungus  Aspergillus flavus,spherical,disc_diffusion,Enterococcus faecalis,24.0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Bacteria,pathogenic,p,urine,100.0,5.0,30.0,24.0,37.0,2.0,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,15.0,Enterococcus,Enterococcus faecalis
Ag,green_synthesis from fungus  Aspergillus flavus,spherical,disc_diffusion,Acinetobacter baumannii,24.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria,pathogenic,n,urine,100.0,5.0,30.0,24.0,37.0,2.0,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,15.0,Acinetobacter,Acinetobacter baumannii
Ag,green_synthesis from fungus  Aspergillus flavus,spherical,disc_diffusion,Klebsiella pneumoniae,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,100.0,5.0,30.0,24.0,30.0,2.0,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,14.0,Klebsiella,Klebsiella pneumoniae
Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,5.0,5.0,80.0,24.0,37.0,2.0,https://www.nature.com/articles/srep29982,13.0,Staphylococcus,Staphylococcus aureus
Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,5.0,5.0,80.0,24.0,37.0,2.0,https://www.nature.com/articles/srep29982,14.0,Staphylococcus,Staphylococcus aureus
Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,5.0,5.0,80.0,24.0,37.0,2.0,https://www.nature.com/articles/srep29982,13.5,Staphylococcus,Staphylococcus aureus
Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,5.0,5.0,80.0,24.0,37.0,2.0,https://www.nature.com/articles/srep29982,17.0,Staphylococcus,Staphylococcus aureus
Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,2.5,5.0,80.0,24.0,37.0,2.0,https://www.nature.com/articles/srep29982,12.0,Pseudomonas,Pseudomonas aeruginosa
Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,2.5,5.0,80.0,24.0,37.0,2.0,https://www.nature.com/articles/srep29982,13.0,Pseudomonas,Pseudomonas aeruginosa
Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,2.5,5.0,80.0,24.0,37.0,2.0,https://www.nature.com/articles/srep29982,14.0,Pseudomonas,Pseudomonas aeruginosa
