,NP_Synthesis,shape,method,Bacteria,time (hr),Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level,Genus,Species,pred_ZOI_norm,pathogenic_bacteria,pred_ZOI_pathogen,Fitness
0,green_synthesis using Hagenia abyssinica (Brace) JF. Gmel.,cube,disc_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,225.0,81.0,46.0,0.16,30.0,3.0,Salmonella,Klebsiella oxytoca,14.038785,Escherichia coli,14.038785,0.0
1,chemical_synthesis using Purpureocillium lilacinum,clusters,disc_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,162.7588,4.0,45.0,0.16,30.0,2.0,Salmonella,Bacillus subtilis,18.437319,Escherichia coli,18.437319,0.0
2,green_synthesis using Olea europaea and Acacia nilotica,semi-spherical,well_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,100.0,0.5,35.0,0.16,30.0,1.0,Haemophilus,Salmonella enterica subsp. enterica serovar Paratyphi A,18.664814,Escherichia coli,18.664814,0.0
3,green_synthesis by Deinococcus radiodurans,ellipsoidal,ZOI,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,1000.0,45.3,16.0,0.16,30.0,2.0,Acinetobacter,Serratia marcescens,12.819254,Escherichia coli,12.819254,0.0
4,green_synthesis  by Bacillus sp.,nanoplates,ZOI,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,2.65,64.6,25.8,0.16,30.0,1.0,Acinetobacter,Staphylococcus aureus,9.445324,Escherichia coli,9.445324,0.0
5,chemical_synthesis by wet chemical reduction approach,cubic,ZOI,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,64.0,6.0,7.99,0.16,30.0,1.0,Klebsiella,Penicillium digitatum,1.6901968,Escherichia coli,1.6901968,0.0
6,chemical_synthesis by hydrolsis,cylindrical,ZOI,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,70.0,110.2,51.3,0.16,30.0,1.0,micrococcus,Pseudomonas aeruginosa,8.742035,Escherichia coli,8.742035,0.0
7,chemical_synthesis purchased from MK impex corp,nanoplates,ZOI,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,62.5,6.86,36.4,0.16,30.0,3.0,Klebsiella,Salmonella enterica,13.7616005,Escherichia coli,13.7616005,0.0
8,green synthesis using flos sophorae,rod-shaped,well_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,2.65,37.1,13.0,0.16,30.0,3.0,Aspergillus,Streptococcus gordonii,9.431056,Escherichia coli,9.431056,0.0
9,chemical_synthesis using sodium borohydride and copper ions,cubic,well_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,64.0,14.45,68.7,0.16,30.0,3.0,micrococcus,Sphingomonas paucimobilis,13.08931,Escherichia coli,13.08931,0.0
10,green_synthesis using Olea europaea and Acacia nilotica,ellipsoidal,disc_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,0.2,4.0,68.7,0.16,30.0,2.0,Enterococcus,Streptococcus oralis,14.766915,Escherichia coli,14.766915,0.0
11,green_synthesis using Phlomis Leaf Extract,triangular,well_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,85.0,44.0,40.0,0.16,30.0,2.0,Stenotrophomonas,Bacillus subtilis,16.279013,Escherichia coli,16.279013,0.0
12,green_synthesis from A. comosus extract,spherical,well_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,32.0,20.0,90.0,0.16,30.0,1.0,Streptococcus oralis,,9.044516,Escherichia coli,9.044516,0.0
13,chemical_synthesis using zinc nitrate,nanoplates,ZOI,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,10.172425,93.2,110.4,0.16,30.0,1.0,Proteus,Shigella sonnei,19.304012,Escherichia coli,19.304012,0.0
14,green_synthesis using Aspergillus niger,ellipsoidal,ZOI,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,4.0,25.8,37.1,0.16,30.0,1.0,Stenotrophomonas,Enterococcus faecalis,12.316699,Escherichia coli,12.316699,0.0
15,green synthesis using pimpinella anisum,triangular,well_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,400.0,0.5,51.9,0.16,30.0,3.0,Serratia,Sphingomonas paucimobilis,17.213348,Escherichia coli,17.213348,0.0
16,green_synthesis using Dioscorea bulbifera tuber extract ,snowflake,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,0.0,14.0,25.5,0.16,30.0,2.0,Paracidovorax,Shigella sonnei,7.1496925,Escherichia coli,7.1496925,0.0
17,chemical_synthesis using khalafalla and reimers method,pseudo-spherical,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,4000.0,13.0,51.9,0.16,30.0,2.0,Streptococcus,Sphingomonas paucimobilis,18.929903,Escherichia coli,18.929903,0.0
18,green synthesis using streptomyces chiangmaiensis,snowflake,disc_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,2.65,110.2,78.9,0.16,30.0,2.0,Sphingomonas,Saccharomyces cerevisiae,8.809619,Escherichia coli,8.809619,0.0
19,green_synthesis from Luffa acutangula,nanoplates,ZOI,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,25000.0,68.64,11.25,0.16,30.0,1.0,Staphylococcus,Streptococcus gordonii,15.173279,Escherichia coli,15.173279,0.0
