,Unnamed: 0.1,NP_Synthesis,shape,method,Bacteria,time (hr),Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level,Genus,Species,pred_ZOI_norm,pathogenic_bacteria,pred_ZOI_pathogen,Fitness
0,371,green_synthesis using aqueous Brassica rapa leaf,clusters,ZOI,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,10500.0,0.5,80.0,0.16,30.0,3.0,Salmonella,Staphylococcus aureus,15.481366,Escherichia coli,16.852129,1.370762825012207
1,371,green_synthesis using aqueous Brassica rapa leaf,clusters,ZOI,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,10500.0,0.5,80.0,0.16,30.0,3.0,Salmonella,Staphylococcus aureus,15.481366,Escherichia coli,16.852129,1.370762825012207
2,371,green_synthesis using aqueous Brassica rapa leaf,clusters,ZOI,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,10500.0,0.5,80.0,0.16,30.0,3.0,Salmonella,Staphylococcus aureus,15.66432,Escherichia coli,17.022062,1.3577423095703125
3,1264,chemical_synthesis by hydrolsis,globular,disc_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,4000.0,14.45,60.0,0.16,30.0,3.0,Saccharomyces,Cryptococcus neoformans,16.850124,Escherichia coli,18.198828,1.348703384399414
4,569,green_synthesis from  piper betel leaf extract,triangles,well_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,400.0,13.0,78.9,0.16,30.0,1.0,Klebsiella,Enterococcus faecalis,15.60737,Escherichia coli,16.95083,1.3434600830078125
5,151,green_synthesis using Moringa oleifera (drumstick) fruit pulp aqueous extracts,rod-shaped,ZOI,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,250.0,41.9,60.0,0.16,30.0,1.0,Sphingomonas,Enterococcus faecium,16.883461,Escherichia coli,18.07859,1.19512939453125
6,430,green_synthesis from S. cordifolia extract,rod-shaped,disc_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,150.0,18.0,77.0,0.16,30.0,3.0,Enterococcus,Cryptococcus neoformans,16.1265,Escherichia coli,17.317045,1.1905460357666016
7,957,green_synthesis from Luffa acutangula,quasi-spherical,ZOI,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,1200.0,20.0,51.9,0.16,30.0,2.0,Aeromonas,micrococcus lotus,17.292625,Escherichia coli,18.476257,1.1836318969726562
8,1173,chemical synthesis using sodium borohydride,nanoplates,ZOI,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,15000.0,31.0,120.0,0.16,30.0,3.0,Brevibacillus,Salmonella enterica subsp. enterica serovar Gallinarum,17.735277,Escherichia coli,18.906853,1.1715755462646484
9,612,chemical_synthesis using cerium nitrate,cylindrical,well_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,256.0,44.0,92.0,0.16,30.0,2.0,Penicillium,Brevibacillus brevis,17.20682,Escherichia coli,18.361113,1.1542930603027344
