,Unnamed: 0.1,NP_Synthesis,shape,method,Bacteria,time (hr),Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level,Genus,Species,pred_ZOI_norm,pathogenic_bacteria,pred_ZOI_pathogen,Fitness
0,83,chemical_synthesis using sodium borohydride and silver ions,triangular,disc_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,15000.0,6.0,68.7,0.16,30.0,2.0,Streptococcus,Staphylococcus epidermidis,16.90031,Escherichia coli,18.249168,1.3488578796386719
1,83,chemical_synthesis using cobalt sulfate heptahydrate ,triangular,disc_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,15000.0,6.0,68.7,0.16,30.0,2.0,Streptococcus,Staphylococcus epidermidis,16.957542,Escherichia coli,18.300842,1.3432998657226562
2,746,green_synthesis from fungus,snowflake,well_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,10000.0,12.0,60.0,0.16,30.0,2.0,Listeria,Staphylococcus haemolyticus,16.74693,Escherichia coli,18.086435,1.3395061492919922
3,1164,chemical_synthesis purchased from nanoshel,clusters,disc_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,10000.0,27.43,78.9,0.16,30.0,3.0,Escherichia,Vibrio cholerae,16.06071,Escherichia coli,17.220684,1.15997314453125
4,61,green synthesis using phyllanthus niruri ,pseudo-spherical,well_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,6000.0,31.0,69.0,0.16,30.0,3.0,Acinetobacter,Burkholderia cepacia,15.969792,Escherichia coli,17.087347,1.1175546646118164
5,317,green_synthesis using Prunus africana,spherical,disc_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,10500.0,25.5,56.2,0.16,30.0,3.0,Bacillus,Salmonella enterica subsp. enterica serovar Typhi,17.62632,Escherichia coli,18.716373,1.0900535583496094
6,773,chemical_synthesis (sigma aldrich. 730785),cylindrical,well_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,10000.0,45.1,59.0,0.16,30.0,1.0,Paracidovorax,Micrococcus luteus,16.770971,Escherichia coli,17.860233,1.0892620086669922
7,317,green_synthesis using Prunus africana,spherical,disc_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,10500.0,25.5,56.2,0.16,30.0,3.0,Bacillus,Salmonella enterica subsp. enterica serovar Typhi,17.493711,Escherichia coli,18.556982,1.0632705688476562
8,273,green synthesis using rumex hastatus,cylindrical,ZOI,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,6000.0,5.0,300.0,0.16,30.0,2.0,Enterococcus,Pseudomonas koreensis,18.041891,Escherichia coli,18.965145,0.9232540130615234
9,1299,green_synthesis using aqueous Brassica rapa leaf,snowflake,ZOI,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,1024.0,6.86,46.8,0.16,30.0,2.0,Listeria,Aspergillus niger,16.440783,Escherichia coli,17.20263,0.7618465423583984
10,83,chemical_synthesis using sodium borohydride and silver ions,triangular,disc_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,15000.0,6.0,68.7,0.16,30.0,2.0,Streptococcus,Staphylococcus epidermidis,16.44775,Escherichia coli,17.200996,0.7532463073730469
11,773,chemical_synthesis (sigma aldrich. 730785),cylindrical,well_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,10000.0,45.1,59.0,0.16,30.0,1.0,Paracidovorax,Micrococcus luteus,17.572325,Escherichia coli,18.277811,0.7054862976074219
12,317,green_synthesis using Prunus africana,spherical,disc_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,10500.0,25.5,56.2,0.16,30.0,3.0,Bacillus,Salmonella enterica subsp. enterica serovar Typhi,17.766762,Escherichia coli,18.463032,0.6962699890136719
13,602,chemical_synthesis using Purpureocillium lilacinum,polygonal ,disc_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,15000.0,5.0,15.55,0.16,30.0,2.0,Aspergillus,Bacillus cereus,18.579693,Escherichia coli,19.184202,0.6045093536376953
14,625,green_synthesis using extract of corn leaves,quasi-hexagonal,well_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,25000.0,37.1,70.0,0.16,30.0,2.0,Bacillus,Enterococcus faecalis,16.809164,Escherichia coli,17.362123,0.5529594421386719
15,768,chemical_synthesis purchased from MK impex corp,cubic,well_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,400.0,14.45,18.0,0.16,30.0,3.0,Stenotrophomonas,Aspergillus flavus,17.11016,Escherichia coli,17.620945,0.5107841491699219
16,429,chemical_synthesis using cobalt sulfate heptahydrate ,quasi-spherical,disc_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,20000.0,28.0,51.3,0.16,30.0,3.0,micrococcus,Streptococcus pyogenes,14.490022,Escherichia coli,14.955036,0.4650144577026367
17,1411,green_synthesis using Aloe vera leaf,quasi-spherical,well_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,6000.0,54.4,10.34,0.16,30.0,2.0,Haemophilus,Haemophilus influenzae,17.935926,Escherichia coli,18.398006,0.4620800018310547
18,1134,chem_synthesis_thermal_reduction_of_Cu(NO3)2⋅3H2O,nanoplates,well_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,512.0,100.0,15.8,0.16,30.0,3.0,micrococcus,Penicillium digitatum,20.00434,Escherichia coli,20.38817,0.3838310241699219
19,1344,green_synthesis using Laurus nobilis,pseudo-spherical,ZOI,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,10500.0,80.0,59.0,0.16,30.0,3.0,Serratia,Staphylococcus epidermidis,17.608093,Escherichia coli,17.919428,0.31133460998535156
