,Unnamed: 0.1,NP_Synthesis,shape,method,Bacteria,time (hr),Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level,Genus,Species,pred_ZOI_norm,pathogenic_bacteria,pred_ZOI_pathogen,Fitness
0,158,green_synthesis using Camellia sinensis,quasi-hexagonal,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,10000.0,8.0,120.0,0.16,30.0,2.0,Aspergillus,Streptococcus pyogenes,15.291108,Escherichia coli,16.646812,1.3557043075561523
1,1091,chemical_synthesis using Purpureocillium lilacinum,quasi-hexagonal,disc_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,400.0,14.45,59.0,0.16,30.0,1.0,Enterobacter,Brevibacillus brevis,16.086628,Escherichia coli,17.283707,1.1970787048339844
2,361,chemical_synthesis using AgNO3,pseudo-spherical,well_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,10000.0,41.9,68.64,0.16,30.0,2.0,Candida,Salmonella enterica,16.714918,Escherichia coli,17.890644,1.1757259368896484
3,59,green_synthesis using the methanolic extracts of marine algae (S. wightii),semi-spherical,well_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,600.0,28.0,46.0,0.16,30.0,3.0,Paracidovorax,Bacillus cereus,17.702112,Escherichia coli,18.828188,1.1260757446289062
4,1146,green_synthesis from fungus  Phytophthora infestans,cube,well_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,800.0,17.5,40.0,0.16,30.0,3.0,Enterobacter,micrococcus lotus,16.35477,Escherichia coli,17.475632,1.1208610534667969
5,976,green synthesis using melissa officinalis,tubular,disc_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,10500.0,51.3,78.9,0.16,30.0,1.0,Shigella,Salmonella enterica subsp. enterica serovar Gallinarum,17.171572,Escherichia coli,18.259663,1.0880908966064453
6,1019,green green synthesis using commiphora myrrh,triangles,disc_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,800.0,45.0,80.0,0.16,30.0,2.0,micrococcus,Vibrio parahaemolyticus,17.899405,Escherichia coli,18.965443,1.0660381317138672
7,1042,green_synthesis using Camellia sinensis,quasi-spherical,well_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,64.0,8.0,68.7,0.16,30.0,3.0,Sphingomonas,Staphylococcus haemolyticus,16.174112,Escherichia coli,17.234608,1.060495376586914
8,86,chemical_synthesis using tri-sodium citrate,cubic,ZOI,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,512.0,5.0,60.0,0.16,30.0,2.0,Acinetobacter,Vibrio cholerae,17.226877,Escherichia coli,18.229755,1.002878189086914
9,1049,green_synthesis using Ulva fasciata,triangles,disc_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,2000.0,11.0,59.0,0.16,30.0,3.0,Neisseria,Proteus mirabilis,17.929764,Escherichia coli,18.789852,0.8600883483886719
10,79,green_synthesis from  piper betel leaf extract,tubular,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,6000.0,42.8,68.7,0.16,30.0,1.0,Aspergillus,Neisseria mucosa,18.423306,Escherichia coli,19.254572,0.8312664031982422
