,Unnamed: 0.1,NP_Synthesis,shape,method,Bacteria,time (hr),Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level,Genus,Species,pred_ZOI_norm,pathogenic_bacteria,pred_ZOI_pathogen,Fitness
29,1014,chemical_synthesis using cobalt sulfate heptahydrate ,quasi-hexagonal,ZOI,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,10500.0,20.0,30.0,0.16,30.0,1.0,Acinetobacter,Enterococcus faecium,16.453268,Escherichia coli,16.873093,0.41982460021972656
37,199,green synthesis using phoenix dactylifera seed,cube,well_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,9.0,10.0,89.0,0.16,30.0,3.0,Candida,Bacillus subtilis,13.078576,Escherichia coli,13.320042,0.24146556854248047
15,508,green_synthesis from  piper betel leaf extract,snowflake,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,2.65,6.0,100.0,0.16,30.0,3.0,Aspergillus,Streptococcus pyogenes,12.865695,Escherichia coli,13.102538,0.23684310913085938
3,1031,green synthesis using murraya koenigii,nanoplates,disc_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,1.33,4.0,92.0,0.16,30.0,2.0,Micrococcus,Haemophilus influenzae,13.044778,Escherichia coli,13.263318,0.21854019165039062
47,212,chemical synthesis using sodium borohydride,globular,ZOI,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,6.363632,41.9,68.7,0.16,30.0,1.0,Aeromonas,Staphylococcus aureus,13.541629,Escherichia coli,13.748543,0.20691394805908203
35,1220,green_synthesis from fungus  Phytophthora infestans,semi-spherical,disc_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,25000.0,2.0,11.25,0.16,30.0,3.0,Micrococcus,Salmonella enterica subsp. enterica serovar Typhi,15.561722,Escherichia coli,15.762624,0.20090198516845703
18,941,chemical_synthesis by wet chemical reduction approach,cube,ZOI,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,2.5,22.0,50.0,0.16,30.0,2.0,Citrobacter,Streptococcus oralis,13.76832,Escherichia coli,13.890592,0.12227153778076172
31,1247,green_synthesis using Aloe-vera leaf extract. 50 mmol/kg Cu(CH3COO)2*H2O,clusters,well_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,60.0,27.0,50.0,0.16,30.0,2.0,Citrobacter,Haemophilus influenzae,13.730672,Escherichia coli,13.8361435,0.10547161102294922
12,531,green_synthesis from  piper betel leaf extract,cubic,well_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,0.31,43.75,33.0,0.16,30.0,2.0,Cryptococcus,Klebsiella oxytoca,12.640653,Escherichia coli,12.729446,0.08879375457763672
34,1059,green synthesis using pisum sativum l.,semi-spherical,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,32.0,35.0,35.0,0.16,30.0,3.0,Stenotrophomonas,Enterobacter cloacae,14.111644,Escherichia coli,14.182694,0.07105064392089844
