,NP_Synthesis,shape,method,Bacteria,Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,Genus,Species,time (hr),NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level
0,242,192,155,54,101,61,47,48,55,273,266,290,148,111,-1.15014542982488,-0.32479601511233636,0.7732403112254417,-0.12804069817519953,0.0,0.0,1.145743109395502
1,254,126,191,54,101,61,47,48,60,273,266,290,132,35,-0.36046561128598836,-0.3474030568429918,-1.2297154605978395,-0.6792354269352607,0.0,0.0,1.145743109395502
2,203,189,292,54,101,61,47,48,55,273,266,290,105,51,-0.2211103491908898,-0.36100109473436853,-0.7327989523210714,-0.4789680088191052,0.0,0.0,-1.2663476472266069
3,245,126,191,54,101,61,47,48,55,273,266,290,136,133,-0.49982087338108694,-0.36048707955634396,-1.2297154605978395,-0.4701488931589442,0.0,0.0,1.145743109395502
4,0,275,155,54,101,61,47,48,55,273,266,290,263,31,2.008573844330687,-0.24600188081451227,-1.0439451351959095,-0.7343548998112669,0.0,0.0,-1.2663476472266069
5,236,288,292,54,101,61,47,48,25,273,266,290,120,15,2.008573844330687,-0.3627767835311806,0.22280971744194455,-0.8080312618888617,0.0,0.0,-1.2663476472266069
6,234,289,191,54,101,61,47,48,25,273,266,290,92,104,2.008573844330687,-0.3613366924403816,0.48273527561748475,0.6803782373395569,0.0,0.0,-0.0603022689155525
7,244,279,292,54,101,61,47,48,25,273,266,290,123,143,-0.2211103491908898,1.9736091152005923,-0.8092476459021126,-0.7711012150619376,0.0,0.0,1.145743109395502
8,200,276,191,54,101,61,47,48,25,273,266,290,94,46,-0.40691736531768785,-0.3207677248908105,0.14636102386090327,0.4047808729595263,0.0,0.0,-1.2663476472266069
9,198,126,155,54,101,61,47,48,60,273,266,290,77,97,-0.7785313975712841,-0.36165529587003614,-0.12120940367274119,-0.4701488931589442,0.0,0.0,-0.0603022689155525
10,256,289,191,54,101,61,47,48,25,273,266,290,36,89,0.8937317475698987,-0.36100109473436853,0.45215579818506835,-0.4789680088191052,0.0,0.0,1.145743109395502
11,219,268,292,54,101,61,47,48,60,273,266,290,36,24,-0.49982087338108694,-0.34646848379203804,-0.3314433110206047,0.31291508483284947,0.0,0.0,-0.0603022689155525
12,252,288,155,54,101,61,47,48,55,273,266,290,21,140,-0.7785313975712841,-0.3622394040268822,-0.46522852478742693,-0.31177227442855326,0.0,0.0,-0.0603022689155525
13,252,284,191,54,101,61,47,48,55,273,266,290,64,16,2.008573844330687,-0.3590852199799134,-1.076818073435757,-0.4036380625552301,0.0,0.0,1.145743109395502
14,163,284,155,54,101,61,47,48,55,273,266,290,102,3,-0.36046561128598836,-0.22263755454066905,-0.3314433110206047,-0.12804069817519953,0.0,0.0,-0.0603022689155525
15,158,192,155,54,101,61,47,48,60,273,266,290,2,142,2.008573844330687,-0.3488049164194224,0.41393145139454773,0.3063007480877287,0.0,0.0,-1.2663476472266069
16,0,275,155,54,101,61,47,48,55,273,266,290,132,130,-0.7785313975712841,-0.36025343629360557,-1.2197771304323044,0.882482971218246,0.0,0.0,-1.2663476472266069
17,208,187,155,54,101,61,47,48,60,273,266,290,105,89,-0.2211103491908898,5.478258056277074,-0.7538223430558577,-0.7159817421859315,0.0,0.0,1.145743109395502
18,224,188,191,54,101,61,47,48,25,273,266,290,34,103,2.008573844330687,-0.3604467936167663,-0.3161535723043965,-0.12620338241266596,0.0,0.0,-1.2663476472266069
19,171,282,292,54,101,61,47,48,25,273,266,290,44,135,2.008573844330687,-0.3324498880277321,-0.8761402527855238,-0.12620338241266596,0.0,0.0,-1.2663476472266069
20,257,187,191,54,101,61,47,48,55,273,266,290,50,122,-0.40691736531768785,-0.3442382653918946,-1.2679398073883603,1.2499461237249536,0.0,0.0,-1.2663476472266069
21,243,276,155,54,101,61,47,48,55,273,266,290,77,84,-0.7785313975712841,-0.3482208082625763,0.41775388607359987,-0.12804069817519953,0.0,0.0,1.145743109395502
22,219,187,292,54,101,61,47,48,25,273,266,290,110,16,-0.36046561128598836,-0.35331663791588036,0.8688011782017433,-0.5506233235579131,0.0,0.0,-1.2663476472266069
23,232,267,292,54,101,61,47,48,60,273,266,290,62,135,-0.40691736531768785,-0.3102537780675811,-0.31997600698344847,0.1475566662048311,0.0,0.0,-0.0603022689155525
24,250,277,292,54,101,61,47,48,60,273,266,290,36,3,-0.2211103491908898,-0.35331663791588036,1.5224375083196462,4.557114496285321,0.0,0.0,-0.0603022689155525
25,199,190,155,54,101,61,47,48,25,273,266,290,53,142,-0.36046561128598836,-0.1291802494452962,2.9061588621364933,-0.4789680088191052,0.0,0.0,-1.2663476472266069
26,177,280,292,54,101,61,47,48,55,273,266,290,62,124,-0.49982087338108694,-0.3590852199799134,-0.29780588584494655,-0.2860498537530838,0.0,0.0,-0.0603022689155525
27,257,275,191,54,101,61,47,48,60,273,266,290,123,42,-0.2211103491908898,-0.3555221602231523,-1.2870519807836205,0.05569087807815422,0.0,0.0,-0.0603022689155525
28,239,267,191,54,101,61,47,48,60,273,266,290,28,31,-1.15014542982488,-0.3394591859098851,-0.771023299111592,-0.31177227442855326,0.0,0.0,-0.0603022689155525
29,176,277,191,54,101,61,47,48,55,273,266,290,2,141,-0.7785313975712841,3.1418254288927527,0.8267543967321704,-0.7711012150619376,0.0,0.0,-1.2663476472266069
30,167,126,191,54,101,61,47,48,25,273,266,290,28,66,-1.15014542982488,-0.3429638348509616,0.03168798348934136,0.49480934532366977,0.0,0.0,-1.2663476472266069
31,168,289,292,54,101,61,47,48,55,273,266,290,44,111,2.008573844330687,-0.34413205116465373,-1.2197771304323044,0.07773866722855673,0.0,0.0,-1.2663476472266069
32,183,284,191,54,101,61,47,48,60,273,266,290,136,54,-1.15014542982488,-0.353477781674191,0.2698256639942848,-0.5873696388085838,0.0,0.0,1.145743109395502
33,0,285,191,54,101,61,47,48,55,273,266,290,94,37,-0.7785313975712841,-0.3207677248908105,0.22280971744194455,-0.495503850681907,0.0,0.0,-1.2663476472266069
34,242,280,155,54,101,61,47,48,25,273,266,290,41,37,0.8937317475698987,-0.35861793345443654,0.14636102386090327,0.5150198187115386,0.0,0.0,-0.0603022689155525
35,229,189,191,54,101,61,47,48,55,273,266,290,34,16,0.8937317475698987,-0.3385246128589314,0.14100961531023035,-0.7894743726872729,0.0,0.0,-0.0603022689155525
