,NP_Synthesis,shape,method,Bacteria,time (hr),Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level,Genus,Species
0,chemical_synthesis by hydrolsis,quasi-spherical,disc_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,10000.0,4.0,41.9,0.16,30.0,2.0,Shigella,Pseudomonas aeruginosa
1,green_synthesis from Azadirachta indica leaf ,nanoplates,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,10.625,14.45,100.0,0.16,30.0,2.0,Stenotrophomonas,Proteus vulgaris
2,chemical_synthesis using thermal decomposition,semi-spherical,ZOI,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,60.0,9.0,35.0,0.16,30.0,2.0,Salmonella,Candida albicans
3,chemical_synthesis purchased from nanoshel,nanorods,well_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,300.0,31.0,38.0,0.16,30.0,1.0,Enterococcus,Micrococcus luteus
4,chemical_synthesis using cerium nitrate,polygonal ,disc_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,6000.0,100.0,110.4,0.16,30.0,1.0,Pseudomonas,Proteus vulgaris
5,chemical_synthesis using FeCl3,semi-spherical,ZOI,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,10.0,46.8,2.33,0.16,30.0,1.0,Citrobacter,Candida albicans
6,green_synthesis using wood apple shell extract,pseudo-spherical,disc_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,250.0,45.1,68.7,0.16,30.0,2.0,Micrococcus,Aspergillus flavus
7,green_synthesis using Ulva fasciata,quasi-spherical,well_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,3.0,38.0,55.0,0.16,30.0,3.0,Stenotrophomonas,Salmonella enterica subsp. enterica serovar Typhimurium
8,green_synthesis from  Eurotium cristatum,polygonal ,well_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,101.0,100.0,54.0,0.16,30.0,1.0,Aspergillus,Aspergillus flavus
9,"chemical_synthesis (sigma aldrich, 730785)",Spherical,well_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,4.772724,14.6,4.0,0.16,30.0,3.0,Vibrio,Bacillus subtilis
10,green_synthesis using the methanolic extracts of marine algae (V. pachynema),quasi-spherical,ZOI,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,40.0,45.0,75.3,0.16,30.0,1.0,Neisseria,Vibrio cholerae
11,chemical_synthesis by controlled precipitation of iron chloride salts,nanoplates,ZOI,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,66.0,56.9,22.0,0.16,30.0,2.0,Pseudomonas,Proteus mirabilis
12,green_synthesis using aqueous Cassiarox burghii leaf extract,hexagonal,disc_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,3.0,100.0,42.0,0.16,30.0,1.0,Klebsiella,Vibrio vulnificus
